baseline_matched_n,episodes,ex_opening_episodes,ex_opening_fs_1R,ex_opening_fs_baseline_1R,ex_opening_fs_diff,ex_opening_m_1R,ex_opening_m_diff,family,fs_1R,fs_2R,fs_baseline_1R,fs_diff,fs_median_MAE_R,fs_median_MFE_R,fs_median_final_R,fs_n,fs_stop_first,long,m_1R,m_2R,m_baseline_1R,m_baseline_2R,m_baseline_stop_first,m_diff,m_median_MAE_R,m_median_MFE_R,m_median_final_R,m_stop_first,non_opening_n,opening_bar_n,population,raw_occurrences,sessions,short,status,symbols,view_set
81,81,81,44.2,32.3,11.9,51.9,11.1,STRAT_212_REVERSAL,44.2,11.7,32.3,11.9,-0.628,0.74,0.244,77,28.6,43,51.9,21.0,40.8,14.8,21.3,11.1,-0.822,1.1,0.085,12.3,81,0,PRIMARY_20,81,5,38,context,20,RETROSPECTIVE
60,60,58,43.6,31.2,12.4,50.0,10.9,OTHER:strat_122,45.6,10.5,33.5,12.1,-0.684,0.903,-0.043,57,17.5,27,51.7,18.3,41.1,17.1,17.5,10.6,-0.757,1.018,0.129,11.7,58,2,PRIMARY_20,60,5,33,context,20,RETROSPECTIVE
25,25,25,32.0,30.2,1.8,48.0,3.0,OTHER:strat_inside_break,32.0,16.0,30.2,1.8,-0.677,0.474,-0.011,25,36.0,16,48.0,40.0,45.0,13.0,17.0,3.0,-1.0,0.878,0.263,24.0,25,0,PRIMARY_20,25,5,9,PASSIVE_ONLY,17,RETROSPECTIVE
25,29,21,35.0,39.3,-4.3,57.1,14.8,STRAT_212_REVERSAL,42.9,17.9,53.9,-11.0,-0.649,0.522,0.131,28,39.3,17,69.0,44.8,56.2,37.1,14.6,12.8,-0.761,1.957,0.967,10.3,21,8,PRIMARY_20,29,2,12,INSUFFICIENT PROSPECTIVE SAMPLE,18,PROSPECTIVE
27,28,26,38.5,15.5,23.0,50.0,21.0,OTHER:strat_122,42.9,39.3,14.4,28.5,-0.662,0.933,0.255,28,21.4,13,53.6,35.7,34.3,15.0,29.2,19.3,-1.049,1.084,0.003,10.7,26,2,PRIMARY_20,28,2,15,INSUFFICIENT PROSPECTIVE SAMPLE,15,PROSPECTIVE
4,6,6,16.7,15.0,1.7,16.7,-29.1,OTHER:strat_inside_break,16.7,0.0,15.0,1.7,-0.78,0.065,-1.873,6,66.7,3,16.7,16.7,45.8,12.5,4.2,-29.1,-1.084,0.235,-2.445,33.3,6,0,PRIMARY_20,6,2,3,PASSIVE_ONLY,5,PROSPECTIVE
110,110,102,42.3,32.2,10.1,52.9,11.2,STRAT_212_REVERSAL,43.8,13.3,34.3,9.5,-0.628,0.735,0.244,105,31.4,60,56.4,27.3,45.4,20.9,19.6,11.0,-0.813,1.194,0.275,11.8,102,8,PRIMARY_20,110,7,50,context,20,COMBINED
88,88,84,42.0,28.5,13.5,50.0,10.4,OTHER:strat_122,44.7,20.0,29.7,15.0,-0.684,0.927,-0.035,85,18.8,40,52.3,23.9,42.4,16.8,19.3,9.9,-0.772,1.024,0.112,11.4,84,4,PRIMARY_20,88,7,48,context,20,COMBINED
31,31,31,29.0,28.6,0.4,41.9,-1.5,OTHER:strat_inside_break,29.0,12.9,28.6,0.4,-0.698,0.409,-0.264,31,41.9,19,41.9,35.5,43.4,15.3,18.8,-1.5,-1.015,0.772,0.033,25.8,31,0,PRIMARY_20,31,7,12,PASSIVE_ONLY,19,COMBINED
501,503,494,35.9,28.2,7.7,48.6,9.2,STRAT_212_REVERSAL,36.0,14.8,28.6,7.4,-0.729,0.633,0.031,472,28.4,261,49.5,22.1,40.0,14.5,20.2,9.5,-0.855,0.97,0.184,13.9,494,9,SECONDARY_148,503,5,242,context,145,RETROSPECTIVE
382,388,356,38.1,29.9,8.2,53.4,13.0,OTHER:strat_122,41.4,13.7,30.6,10.8,-0.744,0.792,-0.038,365,26.0,193,57.0,28.9,44.1,18.7,19.1,12.9,-0.764,1.145,0.294,13.9,356,32,SECONDARY_148,388,5,195,context,140,RETROSPECTIVE
132,132,132,38.5,29.8,8.7,58.3,17.3,OTHER:strat_inside_break,38.5,20.0,29.8,8.7,-0.898,0.745,-0.11,130,26.9,75,58.3,36.4,41.0,13.4,21.3,17.3,-1.0,1.3,0.209,9.8,132,0,SECONDARY_148,132,5,57,PASSIVE_ONLY,88,RETROSPECTIVE
